non_translated_id,language_id,title,value
17,1,District Overview – School Progress 2,<p>Schools that earn an <strong>C</strong> (70–79) for <strong>average</strong> performance …<p>
18,1,District Overview – School Progress 2,<p>Schools that earn an <strong>D</strong> (60–69) for <strong>below average</strong> performance …<p>
19,1,District Overview – School Progress 2,<p>Schools that earn an <strong>F</strong> (less than 60) for <strong>poor</strong> performance …<p>
20,1,District Overview – Closing the Gaps 1,<p>Closing the gaps looks at how well different populations of students are performing and is meant to help ensure all students receive a quality education.</p>
21,1,District Overview – Closing the Gaps 2,"<p>Schools earn an A (90–100) for exemplary work at closing performance gaps when</p><ul><li>for elementary schools, 95% or more of student groups have met the state goals.</li><li>for middle schools, 90% or more of student groups have met the state goals.</li><li>for high schools and districts, 95% or more of student groups have met the state goals.</li></ul>"
22,1,District Overview – Closing the Gaps 2,<p>Schools that earn an <strong>B</strong> (80–89) for <strong>good</strong> performance …<p>
23,1,District Overview – Closing the Gaps 2,<p>Schools that earn an <strong>C</strong> (70–79) for <strong>average</strong> performance …<p>
24,1,District Overview – Closing the Gaps 2,<p>Schools that earn an <strong>D</strong> (60–69) for <strong>below average</strong> performance …<p>
25,1,District Overview – Closing the Gaps 2,<p>Schools that earn an <strong>F</strong> (less than 60) for <strong>poor</strong> performance …<p>
26,1,District Overview – Distinctions,"<p>Districts that receive an accountability rating of <em>A, B, C, or D</em> are eligible to earn a <strong>distinction designation</strong>. Distinction designations are awarded for achievement in several areas and are based on performance relative other districts.</p>"
27,1,Student Achievement – Domain Grade 1,"<p>Student Achievement uses student performance STAAR test. In high school, it also measures how many graduates are ready college, the workforce, or the military.</p>"
28,1,Student Achievement – Domain Grade 2,"<p>Schools earn an A (90–100) for the exemplary achievement of students when at least 60% of students meet grade level [HS ONLY: and at least 60% of graduates are college ready, obtain a specialized career credential, or enlist in the military].</li></ul>"
29,1,Student Achievement – Domain Grade 2,<p>Schools that earn an <strong>B</strong> (80–89) for <strong>good</strong> performance …<p>
30,1,Student Achievement – Domain Grade 2,<p>Schools that earn an <strong>C</strong> (70–79) for <strong>average</strong> performance …<p>
31,1,Student Achievement – Domain Grade 2,<p>Schools that earn an <strong>D</strong> (60–69) for <strong>below average</strong> performance …<p>
32,1,Student Achievement – Domain Grade 2,<p>Schools that earn an <strong>F</strong> (less than 60) for <strong>poor</strong> performance …<p>
33,1,Student Achievement – Domain Grade 2,"<p>Schools earn an A (90–100) for the exemplary achievement of students when at least 60% of students meet grade level and at least 60% of graduates are college ready, obtain a specialized career credential, or enlist in the military.</li></ul>"
34,1,Student Achievement – Domain Grade 2,"<p>Schools earn an B (80–89) for the good achievement of students when at least 50% of students meet grade level and at least 50% of graduates are college ready, obtain a specialized career credential, or enlist in the military.</li></ul>"
35,1,Student Achievement – Domain Grade 2,"<p>Schools earn an C (70–79) for the average achievement of students when at least 40% of students meet grade level and at least 40% of graduates are college ready, obtain a specialized career credential, or enlist in the military.</li></ul>"
36,1,Student Achievement – Domain Grade 2,"<p>Schools earn an D (60–69) for the exemplary achievement of students when at least 30% of students meet grade level and at least 30% of graduates are college ready, obtain a specialized career credential, or enlist in the military.</li></ul>"
37,1,Student Achievement – Domain Grade 2,"<p>Schools earn an F (less than 60) for the poor achievement of students when less than 30% of students meet grade level and less than 30% of graduates are college ready, obtain a specialized career credential, or enlist in the military.</li></ul>"
38,1,Student Achievement – Domain Weighting,"<p>STAAR performance, along with graduation rates and college and career readiness are used to calculate the student achievement rating. CCM Readiness is based on the number of graduates that qualify as college, career or military ready.</p><p>(insert measure) counts more than (insert measure) and (insert measure).</p>"
39,1,Student Achievement – Domain Weighting,"<p>STAAR performance, along with graduation rates and college and career readiness are used to calculate the student achievement rating. CCM Readiness is based on the number of graduates that qualify as college, career or military ready.</p><p>(insert measure) counts more than (insert measure) and (insert measure).</p>"
40,1,Student Achievement – Domain Weighting,"<p>STAAR performance, along with graduation rates and college and career readiness are used to calculate the student achievement rating. CCM Readiness is based on the number of graduates that qualify as college, career or military ready.</p><p>(insert measure) counts more than (insert measure) and (insert measure).</p>"
41,1,Student Achievement – Domain Weighting,"<p>STAAR performance, along with graduation rates and college and career readiness are used to calculate the student achievement rating. CCM Readiness is based on the number of graduates that qualify as college, career or military ready.</p><p>(insert measure) counts more than (insert measure) and (insert measure).</p>"
42,1,Student Achievement – STAAR Performance,"<p>Students in grades 3 – 8 take the STAAR test in reading and math. Students in grades (insert grades) take a social studies test, and those in grades (insert grades) take a science and writing test. In high school, students take STAAR tests after completing courses in …</p>"
43,1,"Student Achievement – College, Career, and Military Readiness","<p>There are several ways a student can demonstrate college, career or military readiness. These include earning minimum scores on national college entrance exams, completing college-level classes in high school, or earning a qualifying industry credential. This measure illustrates the percentage of students who have met one of these criteria to demonstrate they are ready for one of those paths.</p>"
44,1,Student Achievement – Graduation Rate,"<p>The graduation rate is from the class of (insert year).  If graduation rate is not available due to limited data, annual dropout rate is used instead.</p>"
45,1,School Progress – Overall Grade 1,<p>School Progress shows much students are learning and improving from one year to the next. It also looks at the level of student achievement compared to similar schools.</p>
46,1,School Progress – Overall Grade 2,<p>Schools earn an A (90–100) for exemplary progress with students when about 80% or more of students have made a year’s worth of academic gains.</p>
47,1,School Progress – Overall Grade 2,<p>Schools earn an B (80–89) for good progress with students when about 70% or more of students have made a year’s worth of academic gains</p>
48,1,School Progress – Overall Grade 2,<p>Schools earn an C (70–79) for average progress with students when about 60% or more of students have made a year’s worth of academic gains</p>
49,1,School Progress – Overall Grade 2,<p>Schools earn an D (60–69) for below average progress with students when about 50% or more of students have made a year’s worth of academic gains</p>
50,1,School Progress – Overall Grade 2,<p>Schools earn an F (less than 60) for poor progress with students when about 49% or less of students have made a year’s worth of academic gains</p>
51,1,School Progress – Overall Grade 2,<p>Schools earn an A (90–100) for exemplary progress with students when a school’s achievement is far above average compared to similar schools.</p>
52,1,School Progress – Overall Grade 2,<p>Schools earn an B (80–89) for good progress with students when a school’s achievement is above average compared to similar schools.</p>
53,1,School Progress – Overall Grade 2,<p>Schools earn an C (70–79) for average progress with students when a school’s achievement is average compared to similar schools.</p>
54,1,School Progress – Overall Grade 2,<p>Schools earn an D (60–69) for below average progress with students when a school’s achievement is below average compared to similar schools.</p>
55,1,School Progress – Overall Grade 2,<p>Schools earn an F (less than 60) for poor progress with students when a school’s achievement is far below average compared to similar schools.</p>
56,1,School Progress – Narrative,<p>The category above where the school earns a higher performance is what is used as the School Progress score in calculating the overall rating.</p>
57,1,School Progress – Narrative,<p>The category above where the school earns a higher performance is what is used as the School Progress score in calculating the overall rating (alternate).</p>
58,1,School Progress – Academic Growth 1,<p>Only students who have been tested in reading or math in consecutive years contribute to this component.</p>
59,1,School Progress – Academic Growth 2,"<p>Each assessment result contributes zero, one-half, or one point to the calculation depending on the degree of student growth from the previous to the current year.</p>"
60,1,School Progress – Relative Performance,<p>Relative performance is determined by looking at a school's performance on the STAAR tests and the College and Career Readiness measure relative to the percentage of economically disadvantaged students at the school.</p>
61,1,Closing the Gaps – Overall Grade 1,<p>Closing the gaps looks at how well different populations of students are performing and is meant to help ensure all students receive a quality education. Higher grades are awarded if all groups of students are doing well in terms of academic growth and student achievement.</p>
62,1,Closing the Gaps – Overall Grade 2,"<p>Schools earn an A (90–100) for exemplary work at closing performance gaps when for elementary schools, 95% or more of student groups have met the state goals.</p>"
63,1,Closing the Gaps – Overall Grade 2,"<p>Schools earn an B (80–89) for good work at closing performance gaps when for elementary schools, 95% or more of student groups have met the state goals.</p>"
64,1,Closing the Gaps – Overall Grade 2,"<p>Schools earn an C (70–79) for average work at closing performance gaps when for elementary schools, 95% or more of student groups have met the state goals.</p>"
65,1,Closing the Gaps – Overall Grade 2,"<p>Schools earn an D (60–69) for below average work at closing performance gaps when for elementary schools, 95% or more of student groups have met the state goals.</p>"
66,1,Closing the Gaps – Overall Grade 2,"<p>Schools earn an F (less than 60) for poor work at closing performance gaps when for elementary schools, 95% or more of student groups have met the state goals.</p>"
67,1,Closing the Gaps – Overall Grade 2,"<p>Schools earn an A (90–100) for exemplary work at closing performance gaps when for middle schools, 90% or more of student groups have met the state goals.</p>"
68,1,Closing the Gaps – Overall Grade 2,"<p>Schools earn an B (80–89) for good work at closing performance gaps when for middle schools, 90% or more of student groups have met the state goals.</p>"
69,1,Closing the Gaps – Overall Grade 2,"<p>Schools earn an C (70–79) for average work at closing performance gaps when for middle schools, 90% or more of student groups have met the state goals.</p>"
70,1,Closing the Gaps – Overall Grade 2,"<p>Schools earn an D (60–69) for below average work at closing performance gaps when for middle schools, 90% or more of student groups have met the state goals.</p>"
71,1,Closing the Gaps – Overall Grade 2,"<p>Schools earn an F (less than 60) for poor work at closing performance gaps when for middle schools, 90% or more of student groups have met the state goals.</p>"
72,1,Closing the Gaps – Overall Grade 2,"<p>Schools earn an A (90–100) for exemplary work at closing performance gaps when for high schools and districts, 95% or more of student groups have met the state goals.</p>"
73,1,Closing the Gaps – Overall Grade 2,"<p>Schools earn an B (80–89) for good work at closing performance gaps when for high schools and districts, 95% or more of student groups have met the state goals.</p>"
74,1,Closing the Gaps – Overall Grade 2,"<p>Schools earn an C (70–79) for average work at closing performance gaps when for high schools and districts, 95% or more of student groups have met the state goals.</p>"
75,1,Closing the Gaps – Overall Grade 2,"<p>Schools earn an D (60–69) for below average work at closing performance gaps when for high schools and districts, 95% or more of student groups have met the state goals.</p>"
76,1,Closing the Gaps – Overall Grade 2,"<p>Schools earn an F (less than 60) for poor work at closing performance gaps when for high schools and districts, 95% or more of student groups have met the state goals.</p>"
77,1,Closing the Gaps – Domain Grade Weighting,<p>High schools have different calculations of the above categories than elementary and middle schools.</p>
78,1,Closing the Gaps – Domain Grade Weighting,<p>High schools have different calculations of the above categories than elementary and middle schools. (alternate)</p>
79,1,Closing the Gaps – Academic Achievement 1,<p>Each group of students has a performance target set that is measured by the STAAR test. This shows whether each group of students met their target.</p>
80,1,Closing the Gaps – Academic Achievement 1,<p>Each group of students has a performance target set that is measured by the STAAR test. This shows whether each group of students met their target. (alternate)</p>
81,1,Closing the Gaps – Academic Achievement 2,"<p>This component is worth 30% for elementary and middle schools and 50% for high schools, K–12, and AEA campuses towards the total score for closing the gaps.</p>"
82,1,Closing the Gaps – Growth/Graduation Rate 1,<p>Growth: Growth shows whether each group of students made expected progress from one year to the next in reading and math.</p><p>Graduation Rate: The percentage of students in each group that are graduating on time.</p>
83,1,Closing the Gaps – Growth/Graduation Rate 2,"<p>This component is worth 50% for elementary and middle schools and 10% for high schools, K–12, and AEA campuses towards the total score for closing the gaps.</p>"
84,1,Closing the Gaps – English Language Proficiency,<p>This component looks at how well English learners are doing in meeting their targets in each subject.</p>
85,1,Closing the Gaps – Student Quality Success 1,<p>Elem & Middle: This component shows whether each group of students met their targets on the STAAR test.</p>
86,1,Closing the Gaps – Student Quality Success 1,"<p>High school: This component shows the college, career, and military readiness for each group of students.</p>"
87,1,Closing the Gaps – Student Quality Success 2,"<p>This component is worth 10% for elementary and middle schools and 30% for high schools, K–12, and AEA campuses towards the total score for closing the gaps.</p>"
88,1,Profile – Enrollment – Economically Disadvantaged,<p>Students who are eligible for free or reduced lunches.</p>
89,1,Profile – Enrollment – English Learners,"<p>Students whose primary language is one other than English and who are in the process of acquiring English. The terms “English Language Learner,” “English Learner,” and “Limited English Proficient” (LEP) are used interchangeably.</p>"
90,1,Profile – Enrollement – Special Education,<p>The population of students who receives special education services.</p>
91,1,Finance – Receive and Spend 1,"<p><strong>How much does my district / charter school receive?</strong> Funding, also known as revenue, describes the funds received by a district and/or a charter school. All Funds consists of four fundamental fund groups: General Funds, Special Revenue Funds, Debt Service Funds, and Capital Project Funds. General funds are derived from local property taxes, the State Foundation School Program the state Available School Fund (ASF), and federal dollars from indirect cost revenue generated from federal grants and Medicaid reimbursements (SHARS). Special revenue funds include state and federal formula funding and grant funds for special education and low income students. Debt service funds are collected through local property tax collections approved by voters for bond projects.</p>"
92,1,Finance – Receive and Spend 2,"<p><strong>How much does my district / charter school spend?</strong> Spending is also known as expenditures. All Funds consists of four fundamental fund groups: General Funds, Special Revenue Funds, Debt Service Funds, and Capital Project Funds. General funds are spent on the day to day operations including teacher salaries, student transportation, utilities, technology, etc. Special revenue funds are spent on food services, supplemental education for students receiving free and reduced lunch and special education. Debt service funds pay for bond interest and principal. Capital project funds are spent on projects approved through voter bonds and can include expenditures for buildings and school buses.</p><p>Note: Charter schools do not have debt service funds. I would prefer to omit the debt service language for charters.<p>"
93,1,Finance – Receive and Spend 3,"<ol><li><strong>How is District / Charter School Funding per student calculated?</strong> The district / charter school per-student funding, is calculated by dividing the total All Funds revenue for the district by the total students in the district and/or charter school.</li><li><strong>How is Peer Funding per student calculated?</strong> The peer per-student funding, is calculated by dividing the total All Funds revenue for peer groups by the total students in the district and/or charter school.  Peer groups were developed by grouping districts and charter schools by enrollment, percentage of economically disadvantaged students, and tax rates.</li><li><strong>How is Region Funding per student calculated?</strong> The state of Texas is divided into 20 regions, each containing an Educational Service Center (ESC). The region per-student funding, is calculated by dividing the total All Funds revenue in each region and then by the total students each region.</li><li><strong>How is State Funding per student calculated?</strong> The state per-student funding, is calculated by dividing the total All Funds revenue for all districts and charter schools by the total students in districts and charter schools in Texas.</li></ol>"
94,1,Finance – First Rating 1,"<p>The state's school financial accountability rating system, known as the School Financial Integrity Rating System of Texas (FIRST), ensures that Texas public schools are held accountable for the quality of their financial management practices and that they improve those practices. The system is designed to encourage Texas public schools to better manage their financial resources to provide the maximum allocation possible for direct instructional purposes. For more information on FIRST ratings, please visit <a href='https://tea.texas.gov/index4.aspx?id=3864'>https://tea.texas.gov/index4.aspx?id=3864</a></p><p>Charter school link: <a href='https://tea.texas.gov/Finance_and_Grants/Financial_Accountability/Financial_Integrity_Rating_System_of_Texas_(FIRST)/School_FIRST_Rating_for_Charter_Schools/'>https://tea.texas.gov/Finance_and_Grants/Financial_Accountability/Financial_Integrity_Rating_System_of_Texas_(FIRST)/School_FIRST_Rating_for_Charter_Schools/</a></p>"
95,1,Finance – First Rating 2,"<p>Determination of Rating 2016-2017 Rating Year:</p><p>Did the district answer 'No' to Indicators 1, 3, 4, 5, or 2.A? If so, the school district's rating is F for Substandard Achievement regardless of points earned.</p><p>Determine the rating by the applicable number of points. (Indicators 6-15)</p><ul><li>A = Superior:  90-100</li><li>B = Above Standard:  80-89</li><li>C = Meets Standard:  60-79</li><li>F = Substandard Achievement:  <60</li></ul><p>To view the district / charter school entire FIRST report, please visit <a href='https://tealprod.tea.state.tx.us/First/forms/District.aspx?year=2015&district=<<CDN_Number>'>https://tealprod.tea.state.tx.us/First/forms/District.aspx?year=2015&district=<<CDN_Number></a></p><p>Charter ratings: <a href='https://pryor.tea.state.tx.us/Tea.CharterFirst.Web/Public/District.aspx'>https://pryor.tea.state.tx.us/Tea.CharterFirst.Web/Public/District.aspx</a></p>"
96,1,Finance – Debt,<p>Districts and charter schools are required to report their debt payable on their audited annual financial statements. Non-current liabilities that are due within one year and due in more than one year are summed and then divided by the total number of students.</p>
97,1,Finance – Debt – Fast Growth,"<p>WHAT IS A FAST-GROWTH SCHOOL DISTRICT? (DRAFT LANGUAGE).</p><p>To be identified as a fast-growth school district the following criteria must be met:</p><ol><li>Enrollment of at least 2,500 students during the previous school year; and</li><li>Enrollment growth over the last five years of at least 10%, or</li><li>A net increase of 3,500 or more students.</li></ol>"
